annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,label,stage_name,flagged,confidence,note
Rhea,private,870290,"Vehicles: public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used",87,Vehicles; public transport passenger type,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8702,D5,5.0,Assembled/Finished,0.0509084518660436,0.2063302767898784,0.1966922358910651,0.145327175210149,0.4007418602428637,5,Assembled/Finished,0.8971,True,,,,,
Rhea,private,870390,Vehicles: for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,87,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8703,D5,5.0,Assembled/Finished,0.1037833074218269,0.1052067409191071,0.2059925305988469,0.1157116428761296,0.4693057781840894,5,Assembled/Finished,0.8711,True,,,,,
Rhea,private,810830,Titanium: waste and scrap,81,"Titanium; articles thereof, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8108,D4,2.0,Primary Processed,0.1652152103574217,0.2509820777996039,0.07359509224888,0.4349404605846141,0.0752671590094801,4,Manufactured Component,0.8657,False,,,,,
Rhea,private,852610,Radar apparatus,85,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8526,D5,4.0,Manufactured Component,0.145434297486841,0.3860187627216329,0.0625686091335098,0.0746254882039247,0.3313528424540914,2,Primary Processed,0.858,False,,,,,
Rhea,private,790500,"Zinc: plates, sheets, strip and foil",79,"Zinc; plates, sheets, strip and foil",Zinc and articles thereof,7905,D4,2.0,Primary Processed,0.1572130494894541,0.2274047915250777,0.0638321871136454,0.4689265857476977,0.0826233861241249,4,Manufactured Component,0.8478,False,,,,,
Rhea,private,750400,Nickel: powders and flakes,75,Nickel; powders and flakes,Nickel and articles thereof,7504,D4,2.0,Primary Processed,0.1232855310791318,0.3174540674876118,0.0675692702265883,0.418260362608281,0.0734307685983868,4,Manufactured Component,0.8455,False,,,,,
Rhea,private,902410,"Machines and appliances: for testing the hardness, strength, compressibility, elasticity or other mechanical properties of metals",90,"Machines and appliances for testing the hardness, strength, compressibility, elasticity of other mechanical properties of materials (e.g. metals, wood, textiles, paper, plastics)","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9024,D5,4.0,Manufactured Component,0.0551166958578559,0.3042628546425699,0.099481942863664,0.1023389053209585,0.4387996013149515,5,Assembled/Finished,0.8364,False,,,,,
Rhea,private,843999,Machinery: parts of machinery for making or finishing paper or paperboard,84,"Machinery; for making pulp of fibrous cellulosic material, or for making or finishing paper or paperboard","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8439,D5,4.0,Manufactured Component,0.1157905230397297,0.5140941449459877,0.1197747510537356,0.1813348937830265,0.0690056871775202,2,Primary Processed,0.8326,False,,,,,
Rhea,private,846719,"Tools: for working in the hand, pneumatic, other than rotary type",84,"Tools; for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8467,D5,4.0,Manufactured Component,0.0672446385413538,0.1515299928469206,0.1903215029306227,0.0761314160017873,0.5147724496793155,5,Assembled/Finished,0.8208,False,,,,,
Rhea,private,870331,"Vehicles: with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",87,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8703,D5,5.0,Assembled/Finished,0.03926867663043,0.2533462075890549,0.1290553375600502,0.4797818714355886,0.0985479067848761,4,Manufactured Component,0.8201,False,,,,,
Rhea,private,901813,"Medical, surgical instruments and appliances: magnetic resonance imaging apparatus",90,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9018,D5,4.0,Manufactured Component,0.0889834354363427,0.2392250853430517,0.0884500408969837,0.0800088009242177,0.5033326373994039,5,Assembled/Finished,0.8199,False,,,,,
Rhea,private,911410,"Clock or watch parts: springs, including hairsprings",91,Clock or watch parts; n.e.c. in chapter 91,Clocks and watches and parts thereof,9114,D5,5.0,Assembled/Finished,0.4435726056009124,0.2470810104393033,0.0536043711158095,0.0381070247724852,0.2176349880714894,1,Raw/Unprocessed,0.8197,False,,,,,
Rhea,private,850422,"Electrical transformers: liquid dielectric, having a power handling capacity exceeding 650kVA but not exceeding 10,000kVA",85,"Electric transformers, static converters (e.g. rectifiers) and inductors","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8504,D5,4.0,Manufactured Component,0.0546627287120947,0.5152029818414642,0.2045312008232593,0.0832353280890064,0.1423677605341753,2,Primary Processed,0.8137,False,,,,,
Rhea,private,842211,Dish washing machines: of the household type,84,"Dish washing machines; machinery for cleaning, drying, filling, closing, sealing, capsuling or labelling bottles, cans, boxes, bags, etc, machinery for aerating beverages","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8422,D5,4.0,Manufactured Component,0.2066512359682194,0.1583166087050004,0.0701871871161344,0.0473935742513781,0.5174513939592675,5,Assembled/Finished,0.8012,False,,,,,
Rhea,private,910310,"Clocks: with watch movements, electrically operated, excluding clocks of heading no. 9104",91,"Clocks; with watch movements, excluding clocks of heading no. 9104",Clocks and watches and parts thereof,9103,D5,5.0,Assembled/Finished,0.0508388724115574,0.2051680817815059,0.0895392664556259,0.1216669967646375,0.532786782586673,5,Assembled/Finished,0.7979,True,,,,,
Rhea,private,842612,Cranes: mobile lifting frames on tyres and straddle carriers,84,"Derricks, cranes, including cable cranes, mobile lifting frames, straddle carriers and works trucks fitted with a crane","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8426,D5,4.0,Manufactured Component,0.0601898910204264,0.1558106622895198,0.0901539298227243,0.135921574767314,0.5579239421000153,5,Assembled/Finished,0.7907,False,,,,,
Rhea,private,732620,Iron or steel: wire articles,73,"Iron or steel; articles, n.e.c. in chapter 73",Iron or steel articles,7326,D4,3.0,Fabricated Material,0.0847671994211733,0.2400220912693285,0.076529763068782,0.5306756456891026,0.0680053005516134,4,Manufactured Component,0.7875,False,,,,,
Rhea,private,731600,"Iron or steel: anchors, grapnels and parts thereof",73,"Anchors, grapnels and parts thereof, of iron or steel",Iron or steel articles,7316,D4,3.0,Fabricated Material,0.0851198934173611,0.1750334008588127,0.0834288575351163,0.5985610328989952,0.0578568152897145,4,Manufactured Component,0.7419,False,,,,,
Rhea,private,732410,"Steel: sinks and wash basins, of stainless steel",73,"Sanitary ware and parts thereof, of iron or steel",Iron or steel articles,7324,D4,3.0,Fabricated Material,0.0589847665469205,0.1446087184434995,0.101258551678461,0.6133087163174764,0.0818392470136425,4,Manufactured Component,0.7351,False,,,,,
Rhea,private,870350,"Vehicles: with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",87,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8703,D5,5.0,Assembled/Finished,0.0080083793698492,0.0154221316364089,0.3905219973545969,0.246846463578247,0.3392010280608977,3,Fabricated Material,0.7346,False,,,,,
Rhea,private,780419,"Lead: plates, sheets, strip and foil, of a thickness (excluding any backing) exceeding 0.2mm",78,"Lead; plates, sheets, strip and foil, lead powders and flakes",Lead and articles thereof,7804,D4,2.0,Primary Processed,0.0533984499685177,0.146148580054726,0.0467503526574066,0.6591717723602759,0.0945308449590736,4,Manufactured Component,0.6701,False,,,,,
Rhea,private,843320,Mowers: n.e.c. in item no. 8433.1 (including cutter bars for tractor mounting),84,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8433,D5,4.0,Manufactured Component,0.1729938329082491,0.0853663354930605,0.049620969946286,0.0344948376824249,0.6575240239699793,5,Assembled/Finished,0.6552,False,,,,,
Rhea,private,730690,"Iron or steel (excluding cast iron): tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",73,"Iron or steel (excluding cast iron); tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",Iron or steel articles,7306,D4,3.0,Fabricated Material,0.1153072345090293,0.1273407276426743,0.0384698796736368,0.6803763368978131,0.0385058212768464,4,Manufactured Component,0.6364,False,,,,,
