annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,label,stage_name,flagged,confidence,note
Michelle,private,811213,Beryllium: waste and scrap,81,"Beryllium, chromium, hafnium, rhenium, thallium, cadmium, germanium, vanadium, gallium, indium and niobium (columbium), articles of these metals, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8112,D4,2.0,Primary Processed,0.2135198164027888,0.2508648988052807,0.0664009839236956,0.3922300426415364,0.0769842582266984,4,Manufactured Component,0.883,False,,,,,
Michelle,private,903110,Machines: for balancing mechanical parts,90,"Measuring or checking instruments, appliances and machines, n.e.c. or included in this chapter; profile projectors","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9031,D5,4.0,Manufactured Component,0.0573546486415053,0.3870972414170925,0.1462371618197022,0.114221559885421,0.2950893882362788,2,Primary Processed,0.8826,False,,,,,
Michelle,private,853230,Electrical capacitors: variable or adjustable (pre-set) capacitors,85,"Electrical capacitors; fixed, variable or adjustable (pre-set)","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8532,D5,4.0,Manufactured Component,0.0836799138510233,0.1100504986192993,0.0946000881895416,0.2862879016526944,0.4253815976874411,5,Assembled/Finished,0.8669,False,,,,,
Michelle,private,920120,"Musical instruments: pianos, grand",92,"Pianos; including automatic pianos, harpsichords and other keyboard stringed instruments",Musical instruments; parts and accessories of such articles,9201,D5,5.0,Assembled/Finished,0.1115243236316216,0.1859575551589777,0.1495600227168207,0.0778789090636128,0.475079189428967,5,Assembled/Finished,0.8661,True,,,,,
Michelle,private,848410,Gaskets and similar joints: of metal sheeting combined with other material or two or more layers of metal,84,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or similar packings; mechanical seals","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8484,D5,4.0,Manufactured Component,0.0931662372922351,0.4790799118048044,0.1476026321467992,0.2117111313048315,0.0684400874513296,2,Primary Processed,0.8502,False,,,,,
Michelle,private,845969,"Machine-tools: for milling by removing metal, not knee-type, other than numerically controlled",84,"Machine-tools; (including way-type unit head machines) for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading no. 8458","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8459,D5,4.0,Manufactured Component,0.0531226658962369,0.4699048978899115,0.1943641025626888,0.0861540155456502,0.1964543181055124,2,Primary Processed,0.8451,False,,,,,
Michelle,private,830400,"Office equipment: filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furniture of heading no. 9403",83,"Office equipment; filing cabinets, card-index cabinets, paper trays and rests, pen trays, office-stamp stands and the like, of base metal, other than office furniture of heading no. 9403",Metal; miscellaneous products of base metal,8304,D4,4.0,Manufactured Component,0.0487375621034749,0.1682420633381144,0.1654968522750544,0.4931700417435904,0.1243534805397656,4,Manufactured Component,0.8405,True,,,,,
Michelle,private,853329,"Electrical resistors: fixed, for a power handling capacity exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",85,"Electrical resistors (including rheostats and potentiometers), excluding heating resistors","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8533,D5,4.0,Manufactured Component,0.0488130021398142,0.0638391622841046,0.3104634400629789,0.1684461149739516,0.4084382805391505,5,Assembled/Finished,0.84,False,,,,,
Michelle,private,860630,"Railway or tramway goods vans and wagons: self-discharging, not self-propelled, excluding those of item no. 8606.10",86,Railway or tramway goods vans and wagons; not self-propelled,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",8606,D5,5.0,Assembled/Finished,0.1156157653543896,0.0796135234746379,0.372771390663938,0.0478542904821252,0.3841450300249091,5,Assembled/Finished,0.8275,True,,,,,
Michelle,private,840890,"Engines: compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of a kind used for other than marine propulsion or the vehicles of chapter 87",84,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines),"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8408,D5,4.0,Manufactured Component,0.0391243048338478,0.3295245047835817,0.0509827229759572,0.4135685707044388,0.1667998967021742,4,Manufactured Component,0.8129,True,,,,,
