annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,label,stage_name,flagged,confidence,note
Olivia,private,810520,"Cobalt: mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders",81,"Cobalt; mattes and other intermediate products of cobalt metallurgy, cobalt and articles thereof, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8105,D4,2.0,Primary Processed,0.3351619020513125,0.1948267563021203,0.0744834335405402,0.3153676163114819,0.080160291794545,1,Raw/Unprocessed,0.8977,False,,,,,
Olivia,private,843319,"Mowers: for lawns, parks or sports-grounds, other than with the cutting device rotating in a horizontal plane",84,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8433,D5,4.0,Manufactured Component,0.4146277791840335,0.106097255919751,0.2502949051690804,0.0780305003239438,0.1509495594031911,1,Raw/Unprocessed,0.8911,False,,,,,
Olivia,private,870110,Tractors: single axle,87,Tractors; (other than tractors of heading no 8709),"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8701,D5,5.0,Assembled/Finished,0.3036970918650478,0.2214529903083402,0.0520503654053584,0.0802350747681626,0.3425644776530908,5,Assembled/Finished,0.8817,True,,,,,
Olivia,private,890120,Tankers,89,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods","Ships, boats and floating structures",8901,D5,5.0,Assembled/Finished,0.1789148098553774,0.3320909043523399,0.0832199504011884,0.0609242525421305,0.3448500828489637,5,Assembled/Finished,0.8814,True,,,,,
Olivia,private,842620,Cranes: tower cranes,84,"Derricks, cranes, including cable cranes, mobile lifting frames, straddle carriers and works trucks fitted with a crane","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8426,D5,4.0,Manufactured Component,0.1057422427611874,0.1784501916631999,0.119589056980936,0.1014605432313518,0.4947579653633247,5,Assembled/Finished,0.8571,False,,,,,
Olivia,private,850140,"Electric motors: AC motors, single-phase",85,Electric motors and generators (excluding generating sets),"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8501,D5,4.0,Manufactured Component,0.0608612228994162,0.2386052179232628,0.0791157340937535,0.1616433274868378,0.4597744975967295,5,Assembled/Finished,0.848,False,,,,,
Olivia,private,854610,Electrical insulators: of glass,85,Electrical insulators of any material,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8546,D5,4.0,Manufactured Component,0.2351596184525674,0.4552847402609443,0.1461043493253705,0.0281372309835885,0.1353140609775291,2,Primary Processed,0.8393,False,,,,,
Olivia,private,850153,"Electric motors: AC motors, multi-phase, of an output exceeding 75kW",85,Electric motors and generators (excluding generating sets),"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8501,D5,4.0,Manufactured Component,0.0927573801166209,0.0873604925370142,0.126238090899019,0.1689638470267676,0.524680189420578,5,Assembled/Finished,0.8286,False,,,,,
Olivia,private,854129,"Electrical apparatus: transistors, (other than photosensitive), with a dissipation rate of 1W or more",85,"Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8541,D5,4.0,Manufactured Component,0.0539130111427416,0.0587302770702116,0.1345012758951396,0.3684509923970142,0.3844044434948928,5,Assembled/Finished,0.8259,False,,,,,
Olivia,private,901812,"Medical, surgical instruments and appliances: ultrasonic scanning apparatus",90,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9018,D5,4.0,Manufactured Component,0.0812366214118163,0.266749346254408,0.0799369794144411,0.0868660490170259,0.4852110039023085,5,Assembled/Finished,0.8211,False,,,,,
