annotator,batch_type,subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree,expected_stage,overlap_reason,label,stage_name,flagged,confidence,note
Apuela,overlap,760612,"Aluminium: plates, sheets and strip, thickness exceeding 0.2mm, alloys, rectangular (including square)",76,"Aluminium; plates, sheets and strip, thickness exceeding 0.2mm",Aluminium and articles thereof,7606,D4,3.0,Fabricated Material,0.0600537024438381,0.1272026598453521,0.0278018079698085,0.7342561483383179,0.0506856814026832,4,Manufactured Component,0.5646,False,3,anchor,,,,,
Apuela,overlap,848140,"Valves: safety or relief valves, for pipes, boiler shells, tanks, vats or the like",84,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8481,D5,4.0,Manufactured Component,0.0716403360909273,0.5942415087557064,0.0857335192819464,0.0698695565740698,0.17851507929735,2,Primary Processed,0.747,False,4,anchor,,,,,
Apuela,overlap,851890,"Microphones, headphones, earphones, amplifier equipment: parts of the equipment of heading no. 8518",85,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio-frequency and electric sound amplifiers and sets","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8518,D5,4.0,Manufactured Component,0.2158824572010913,0.2637964388803974,0.2119644205285452,0.1180966228955752,0.1902600604943908,2,Primary Processed,0.9813,False,,high_uncertainty,,,,,
Apuela,overlap,820110,"Tools, hand: spades and shovels",82,"Tools, hand; spades, shovels, mattocks, picks, hoes, forks, rakes; axes, bill hooks etc; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools used in agriculture, horticulture, forestry","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8201,D4,4.0,Manufactured Component,0.2658989568150989,0.2412227667015744,0.113356231104535,0.2087573070921089,0.1707647382866827,1,Raw/Unprocessed,0.9761,False,,high_uncertainty,,,,,
Apuela,overlap,840390,Boilers: parts of central heating boilers (excluding those of heading no. 8402),84,Central heating boilers; excluding those of heading no. 8402,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8403,D5,4.0,Manufactured Component,0.2008368938413059,0.2640685501037344,0.2655708850409789,0.1815219508240863,0.0880017201898944,3,Fabricated Material,0.9629,False,,high_uncertainty,,,,,
Apuela,overlap,900390,"Frames and mountings: parts for spectacles, goggles or the like",90,"Frames and mountings; for spectacles, goggles or the like, and parts","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",9003,D5,4.0,Manufactured Component,0.1356750272173462,0.3091885173964444,0.2647120334652697,0.1009551093978548,0.1894693125230847,2,Primary Processed,0.9522,False,,high_uncertainty,,,,,
Apuela,overlap,840310,Boilers: central heating boilers (excluding those of heading no. 8402),84,Central heating boilers; excluding those of heading no. 8402,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8403,D5,4.0,Manufactured Component,0.1569410860538482,0.2813754379749298,0.1854876726865768,0.0863832682371139,0.2898125350475311,5,Assembled/Finished,0.9509,False,,high_uncertainty,,,,,
Apuela,overlap,853510,"Electrical apparatus: fuses, for a voltage exceeding 1000 volts",85,"Electrical apparatus for switching, protecting electrical circuits, for making connections to or in electrical circuits; for a voltage exceeding 1000 volts","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8535,D5,4.0,Manufactured Component,0.1165454848422229,0.1362127292641319,0.1498000245645629,0.3038617810082997,0.2935799803207825,4,Manufactured Component,0.9495,True,,high_uncertainty,,,,,
Apuela,overlap,731010,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), 50l or more capacity but not exceeding 300l",73,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), of iron or steel, capacity not exceeding 300l, whether or not lined or heat-insulated",Iron or steel articles,7310,D4,3.0,Fabricated Material,0.0865238551763561,0.1595957910924209,0.1767932663141176,0.3017554052566455,0.2753316821604598,4,Manufactured Component,0.9492,False,,high_uncertainty,,,,,
Apuela,overlap,844831,"Machines, card clothing: parts and accessories",84,"Machinery, auxiliary; for use with machines of heading no. 8444 to 8447 (e.g. dobbies, jacquards, automatic stop motions, shuttle changing mechanisms) parts, accessories for machines of heading no. 8444, 8447","Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",8448,D5,4.0,Manufactured Component,0.2543795629030596,0.3114058282552412,0.1188505703553387,0.0919856252674572,0.2233784132189031,2,Primary Processed,0.9438,False,,high_uncertainty,,,,,
Apuela,overlap,821520,"Cutlery: sets of assorted articles (e.g. spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar), not plated with precious metal",82,"Cutlery; spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar kitchen or tableware","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8215,D4,4.0,Manufactured Component,0.1520547615849014,0.1029876774036206,0.1686122155375038,0.2071831981491388,0.3691621473248353,5,Assembled/Finished,0.9411,False,,high_uncertainty,,,,,
Apuela,overlap,810820,"Titanium: unwrought, powders",81,"Titanium; articles thereof, including waste and scrap","Metals; n.e.c., cermets and articles thereof",8108,D4,2.0,Primary Processed,0.2239527983668983,0.2487789969982281,0.0499151866889358,0.2795900383622196,0.197762979583718,4,Manufactured Component,0.9368,False,,high_uncertainty,,,,,
