subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree
721650,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.0050669749585253426,0.25967356248222634,0.04851106495536506,0.670942954046411,0.015805443557472185,4,Manufactured Component,0.5325,False
721730,"Iron or non-alloy steel: wire, plated or coated with base metals (other than zinc)",72,Wire of iron or non-alloy steel,Iron and steel,7217,D4,2.0,Primary Processed,0.00728706663500878,0.34879153471375424,0.02070060352332464,0.5867274414935743,0.03649335363433805,4,Manufactured Component,0.5699,False
721230,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",72,"Iron or non-alloy steel; flat-rolled products, width less than 600mm, clad, plated or coated",Iron and steel,7212,D4,2.0,Primary Processed,0.014603991761554164,0.18118533205226936,0.035485430990110776,0.7349099996560533,0.033815245540012445,4,Manufactured Component,0.5161,False
720927,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",72,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, cold-rolled (cold-reduced), not clad, plated or coated",Iron and steel,7209,D4,2.0,Primary Processed,0.010388595255241264,0.17741759468407323,0.028955428496062755,0.7358555341632722,0.04738284740135055,4,Manufactured Component,0.5138,False
721632,"Iron or non-alloy steel: I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.005776823503688745,0.24835898005250748,0.036092311177488706,0.6903317577115556,0.019440127554759504,4,Manufactured Component,0.5145,False
720529,"Iron or steel, pig iron, spiegeleisen: powders (excluding alloy steel)",72,"Granules and powders, of pig iron, spiegeleisen, iron or steel",Iron and steel,7205,D4,2.0,Primary Processed,0.026033383735643525,0.34885690785837237,0.02235591859073664,0.5628459642291579,0.0399078255860896,4,Manufactured Component,0.6209,False
721699,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.011273354375908928,0.30674025644913505,0.020326750504424798,0.6393225240656921,0.022337114604839045,4,Manufactured Component,0.5363,False
721310,"Iron or non-alloy steel: bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",72,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",Iron and steel,7213,D4,2.0,Primary Processed,0.0027709964126159995,0.11854408651031904,0.09220469719398496,0.761143622833169,0.025336597049910908,4,Manufactured Component,0.4907,False
721691,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.006624172213399436,0.3401788057884054,0.13845183968290867,0.4916052350873186,0.023139947227967857,4,Manufactured Component,0.6897,False
721790,"Iron or non-alloy steel: wire, n.e.c. in heading no. 7217",72,Wire of iron or non-alloy steel,Iron and steel,7217,D4,2.0,Primary Processed,0.014429946846634477,0.30910585222978276,0.026275862766943634,0.6177324234970893,0.03245591465954981,4,Manufactured Component,0.5769,False
720390,"Ferrous products: spongy ferrous products and iron having a minimum purity by weight of 99.94%, in lumps, pellets or similar forms",72,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or the like; iron having a minimum purity of 99.94%, in lumps, pellets or similar forms",Iron and steel,7203,D4,2.0,Primary Processed,0.0331502011591651,0.7464213081100374,0.049052251650299014,0.04521225950619152,0.12616397957430697,2,Primary Processed,0.547,True
720838,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness of 3mm or more but less than 4.75mm",72,"Iron or non-alloy steel; flat-rolled products of a width of 600mm or more, hot-rolled, not clad, plated or coated",Iron and steel,7208,D4,2.0,Primary Processed,0.018083263121235135,0.2219727180079642,0.06804326151295281,0.6489182686473494,0.04298248871049848,4,Manufactured Component,0.6247,False
720292,Ferro-alloys: ferro-vanadium,72,Ferro-alloys,Iron and steel,7202,D4,2.0,Primary Processed,0.02927841640471232,0.417308870086885,0.031645376471023084,0.45640543443266623,0.0653619026047133,4,Manufactured Component,0.6919,False
721069,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",72,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, clad, plated or coated",Iron and steel,7210,D4,2.0,Primary Processed,0.014870799998223409,0.14581493041991264,0.0703065049533035,0.6916598803445965,0.07734788428396401,4,Manufactured Component,0.6107,False
720441,"Ferrous waste and scrap: turnings, shavings, chips, milling waste, sawdust, fillings, trimmings and stampings, whether or not in bundles",72,Ferrous waste and scrap; remelting scrap ingots of iron or steel,Iron and steel,7204,D4,2.0,Primary Processed,0.026120743366794513,0.3980362504281756,0.02779653916798247,0.5011723749601626,0.046874092076884775,4,Manufactured Component,0.6531,False
720690,Iron or non-alloy steel: primary forms (excluding ingots and iron of heading no. 7203),72,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading no. 7203),Iron and steel,7206,D4,2.0,Primary Processed,0.015097358646991674,0.172493824057971,0.013644390243914705,0.763489397451201,0.03527502959992163,4,Manufactured Component,0.4654,False
722211,"Steel, stainless: bars and rods, hot-rolled, hot-drawn or extruded, of circular cross-section",72,"Stainless steel bars and rods, angles, shapes and sections",Iron and steel,7222,D4,2.0,Primary Processed,0.008093982301750674,0.23476466190048345,0.07794326679107322,0.6618179757215921,0.01738011328510054,4,Manufactured Component,0.5727,False
720916,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",72,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, cold-rolled (cold-reduced), not clad, plated or coated",Iron and steel,7209,D4,2.0,Primary Processed,0.009809191713274327,0.20627368284130562,0.04134071776174887,0.7097912701791544,0.03278513750451676,4,Manufactured Component,0.5331,False
722840,"Steel, alloy: bars and rods, forged",72,"Alloy steel bars, rods, shapes and sections; hollow drill bars and rods, of alloy or non-alloy steel",Iron and steel,7228,D4,2.0,Primary Processed,0.017860719568155863,0.3386725117910698,0.04032606921421967,0.5450285561470052,0.05811214327954953,4,Manufactured Component,0.6612,False
720293,Ferro-alloys: ferro-niobium,72,Ferro-alloys,Iron and steel,7202,D4,2.0,Primary Processed,0.0364712442874093,0.400755498565319,0.030794689718584435,0.4544621152287546,0.07751645219993267,4,Manufactured Component,0.7152,False
721210,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with tin",72,"Iron or non-alloy steel; flat-rolled products, width less than 600mm, clad, plated or coated",Iron and steel,7212,D4,2.0,Primary Processed,0.01072682700696428,0.2174476048615719,0.01866219532249336,0.7177783123796918,0.03538506042927862,4,Manufactured Component,0.5039,False
720310,"Ferrous products: obtained by direct reduction of iron ore, in lumps, pellets or similar forms",72,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or the like; iron having a minimum purity of 99.94%, in lumps, pellets or similar forms",Iron and steel,7203,D4,2.0,Primary Processed,0.009974022386619801,0.5237143630872347,0.016699960439745375,0.4194350238708453,0.030176630215554844,2,Primary Processed,0.5736,True
720270,Ferro-alloys: ferro-molybdenum,72,Ferro-alloys,Iron and steel,7202,D4,2.0,Primary Processed,0.04028055771871778,0.40468358541261124,0.029571171519482454,0.4556601294615105,0.06980455588767802,4,Manufactured Component,0.7105,False
720249,"Ferro-alloys: ferro-chromium, containing by weight 4% or less of carbon",72,Ferro-alloys,Iron and steel,7202,D4,2.0,Primary Processed,0.03134075436553581,0.3367569722557567,0.03560343304006579,0.5258036686766174,0.07049517166202432,4,Manufactured Component,0.6951,False
722219,"Steel, stainless: bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",72,"Stainless steel bars and rods, angles, shapes and sections",Iron and steel,7222,D4,2.0,Primary Processed,0.010864273472975335,0.22717529175618667,0.09954885980828608,0.6334594983897996,0.028952076572752276,4,Manufactured Component,0.6258,False
721190,"Iron or non-alloy steel: flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",72,"Iron or non-alloy steel; flat-rolled products, width less than 600mm, not clad, plated or coated",Iron and steel,7211,D4,2.0,Primary Processed,0.019448323262915315,0.2326026495592113,0.020200490970492258,0.6964539249870138,0.03129461122036735,4,Manufactured Component,0.5313,False
722240,"Steel, stainless: angles, shapes and sections",72,"Stainless steel bars and rods, angles, shapes and sections",Iron and steel,7222,D4,2.0,Primary Processed,0.014790968812548988,0.6257034079818342,0.027795050110845865,0.3016239480783307,0.030086625016440285,2,Primary Processed,0.573,True
721012,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with tin, thickness of less than 0.5mm",72,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, clad, plated or coated",Iron and steel,7210,D4,2.0,Primary Processed,0.015246781364349093,0.16176657212951007,0.029262825546887628,0.7595177811061073,0.034206039853145895,4,Manufactured Component,0.4885,False
730459,"Steel, alloy (not stainless steel): (excluding cold-drawn or cold-rolled), tubes, pipes and hollow profiles of circular cross-section",73,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel",Iron or steel articles,7304,D4,3.0,Fabricated Material,0.04122374026215357,0.13389336196209126,0.019915952343305215,0.7588777299447791,0.04608921548767087,4,Manufactured Component,0.5156,False
730729,"Steel, stainless: tube or pipe fittings, n.e.c. in item no. 7307.2",73,"Tube or pipe fittings (e.g. couplings, elbows, sleeves), of iron or steel",Iron or steel articles,7307,D4,3.0,Fabricated Material,0.0182643088439749,0.28843382430723047,0.04467595435196093,0.6168707701097543,0.031755142387079334,4,Manufactured Component,0.6077,False
730690,"Iron or steel (excluding cast iron): tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",73,"Iron or steel (excluding cast iron); tubes, pipes and hollow profiles (not seamless), n.e.c. in chapter 73",Iron or steel articles,7306,D4,3.0,Fabricated Material,0.01660769156150229,0.263092771462865,0.022412588251363927,0.676505902729338,0.021381045994930764,4,Manufactured Component,0.5288,False
731589,"Chain: n.e.c. in heading no. 7315, of iron or steel",73,"Chain and parts thereof, of iron or steel",Iron or steel articles,7315,D4,3.0,Fabricated Material,0.020398150901517077,0.5242462099614046,0.04676775209492722,0.37139796795623786,0.03718991908591331,2,Primary Processed,0.6533,False
731010,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), 50l or more capacity but not exceeding 300l",73,"Tanks, casks, drums, cans, boxes and similar containers, for any material (excluding compressed or liquefied gas), of iron or steel, capacity not exceeding 300l, whether or not lined or heat-insulated",Iron or steel articles,7310,D4,3.0,Fabricated Material,0.039431174382635284,0.29153458044209357,0.05494007611490984,0.5439018748973053,0.07019229416305593,4,Manufactured Component,0.7232,False
731824,Iron or steel: non-threaded cotters and cotter-pins,73,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel",Iron or steel articles,7318,D4,3.0,Fabricated Material,0.017390789237366013,0.4974735910402329,0.03919807397874721,0.4081852978890816,0.037752247854572284,2,Primary Processed,0.6426,False
