chapter,chapter_text,heading,heading_text,subheading,subheading_text,year_range,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_continuous,nli_class,nli_label,nli_uncertainty
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010110,010110 -- (2002-2011) - Pure-bred breeding animals,all,1,Raw/Primary,0.205294,0.200539,0.132807,0.184025,0.277335,3.1276,5,Final Good,0.9833
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010111,010111 -- (-2001) -- Pure-bred breeding animals,all,1,Raw/Primary,0.195289,0.200703,0.138481,0.190393,0.275133,3.1494,5,Final Good,0.9854
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010119,010119 -- (-2001) -- Other,all,1,Raw/Primary,0.196757,0.259898,0.111999,0.215884,0.215463,2.9934,2,Processed Material,0.9798
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010120,"010120 -- (-2001) - Asses, mules and hinnies",all,1,Raw/Primary,0.184088,0.282075,0.125537,0.183191,0.225109,2.9832,2,Processed Material,0.979
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010121,010121 -- (2012-) -- Pure-bred breeding animals,all,1,Raw/Primary,0.201096,0.199921,0.133959,0.188544,0.276481,3.1394,5,Final Good,0.984
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010129,010129 -- (2012-) -- Other,all,1,Raw/Primary,0.196107,0.257024,0.111412,0.214752,0.220705,3.0069,2,Processed Material,0.9798
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010130,010130 -- (2012-) - Asses,all,1,Raw/Primary,0.190297,0.264718,0.110675,0.212915,0.221396,3.0104,2,Processed Material,0.9782
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010190,010190 -- (2002-) - Other,all,1,Raw/Primary,0.199981,0.259554,0.111742,0.211222,0.217502,2.9867,2,Processed Material,0.9799
01,Animals; live,0102,Bovine animals; live,010210,010210 -- (-2011) - Pure-bred breeding animals,all,1,Raw/Primary,0.18992,0.211045,0.141136,0.183717,0.274181,3.1412,5,Final Good,0.9856
01,Animals; live,0102,Bovine animals; live,010221,010221 -- (2012-) -- Pure-bred breeding animals,all,1,Raw/Primary,0.200894,0.201877,0.134086,0.189091,0.274053,3.1335,5,Final Good,0.9845
01,Animals; live,0102,Bovine animals; live,010229,010229 -- (2012-) -- Other,all,1,Raw/Primary,0.1964,0.25766,0.109848,0.215704,0.220388,3.006,2,Processed Material,0.9791
01,Animals; live,0102,Bovine animals; live,010231,010231 -- (2012-) -- Pure-bred breeding animals,all,1,Raw/Primary,0.201464,0.201071,0.133942,0.188153,0.275369,3.1349,5,Final Good,0.9842
01,Animals; live,0102,Bovine animals; live,010239,010239 -- (2012-) -- Other,all,1,Raw/Primary,0.196672,0.258016,0.110108,0.21537,0.219833,3.0037,2,Processed Material,0.9792
01,Animals; live,0102,Bovine animals; live,010290,010290 --  - Other,all,1,Raw/Primary,0.200153,0.262583,0.106925,0.212438,0.217901,2.9854,2,Processed Material,0.9775
01,Animals; live,0103,Swine; live,010310,010310 --  - Pure-bred breeding animals,all,1,Raw/Primary,0.175281,0.197074,0.139473,0.180845,0.307327,3.2479,5,Final Good,0.9767
01,Animals; live,0103,Swine; live,010391,010391 --  -- Weighing less than 50 kg,all,1,Raw/Primary,0.192854,0.262828,0.101329,0.2067,0.236289,3.0307,2,Processed Material,0.9738
01,Animals; live,0103,Swine; live,010392,010392 --  -- Weighing 50 kg or more,all,1,Raw/Primary,0.200729,0.251035,0.103428,0.222404,0.222404,3.0147,2,Processed Material,0.9771
01,Animals; live,0104,Sheep and goats; live,010410,010410 --  - Sheep,all,1,Raw/Primary,0.216933,0.257615,0.107495,0.1937,0.224257,2.9507,2,Processed Material,0.9779
01,Animals; live,0104,Sheep and goats; live,010420,010420 --  - Goats,all,1,Raw/Primary,0.223095,0.253542,0.107987,0.186767,0.228609,2.9443,2,Processed Material,0.9778
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010511,010511 --  -- Fowls of the species Gallus domesticus,all,1,Raw/Primary,0.245147,0.186134,0.121831,0.165551,0.281337,3.0518,5,Final Good,0.9746
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010512,010512 -- (1996-) -- Turkeys,all,1,Raw/Primary,0.184071,0.264442,0.11285,0.213109,0.225528,3.0316,2,Processed Material,0.9785
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010513,010513 -- (2012-) -- Ducks,all,1,Raw/Primary,0.190395,0.248564,0.119963,0.213649,0.227428,3.0392,2,Processed Material,0.9834
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010514,010514 -- (2012-) -- Geese,all,1,Raw/Primary,0.201127,0.259263,0.105059,0.214517,0.220034,2.9931,2,Processed Material,0.9771
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010515,010515 -- (2012-) -- Guinea fowls,all,1,Raw/Primary,0.218619,0.239871,0.115768,0.180182,0.24556,2.9942,5,Final Good,0.9805
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010519,010519 -- (-2011) -- Other,all,1,Raw/Primary,0.197178,0.25742,0.112678,0.213826,0.218897,2.9998,2,Processed Material,0.9804
