chapter,chapter_text,heading,heading_text,subheading,subheading_text,prior_class,prior_label,nli_class,nli_label,nli_continuous,nli_uncertainty,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010111,"Horses: live, pure-bred breeding animals",1.0,Raw/Primary,5,Final Good,3.216,0.987,0.193916,0.149263,0.179694,0.201248,0.27588
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010119,"Horses: live, other than pure-bred breeding animals",1.0,Raw/Primary,5,Final Good,3.089,0.997,0.181346,0.212429,0.172367,0.203494,0.230364
01,Animals; live,0101,"Horses, asses, mules and hinnies; live",010120,"Asses, mules and hinnies: live",1.0,Raw/Primary,5,Final Good,3.043,0.976,0.236675,0.202044,0.106054,0.192227,0.263
01,Animals; live,0102,Bovine animals; live,010210,"Bovine animals: live, pure-bred breeding animals",1.0,Raw/Primary,5,Final Good,3.127,0.99,0.210952,0.168185,0.169174,0.185801,0.265888
01,Animals; live,0102,Bovine animals; live,010290,"Bovine animals: live, other than pure-bred breeding animals",1.0,Raw/Primary,5,Final Good,3.082,0.995,0.204986,0.189951,0.169939,0.188105,0.247019
01,Animals; live,0103,Swine; live,010310,"Swine: live, pure-bred breeding animals",1.0,Raw/Primary,5,Final Good,3.094,0.988,0.224045,0.167475,0.165524,0.175855,0.267102
01,Animals; live,0103,Swine; live,010391,"Swine: live, (other than pure-bred breeding animals), weighing less than 50kg",1.0,Raw/Primary,5,Final Good,3.075,0.988,0.225299,0.172069,0.170064,0.167101,0.265467
01,Animals; live,0103,Swine; live,010392,"Swine: live, (other than pure-bred breeding animals), weighing 50kg or more",1.0,Raw/Primary,5,Final Good,3.081,0.991,0.21967,0.174113,0.171749,0.174113,0.260356
01,Animals; live,0104,Sheep and goats; live,010410,Sheep: live,1.0,Raw/Primary,1,Raw/Primary,2.874,0.974,0.29582,0.169543,0.124041,0.186207,0.224389
01,Animals; live,0104,Sheep and goats; live,010420,Goats: live,1.0,Raw/Primary,1,Raw/Primary,2.838,0.953,0.335585,0.139756,0.118609,0.163391,0.242659
01,Animals; live,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",010511,"Poultry: live, fowls of the species gallus domesticus, weighing not more than 185g",1.0,Raw/Primary,5,Final Good,3.106,0.982,0.218713,0.193391,0.128575,0.182029,0.277291
