source,connector,share_2017_pct,share_2024_pct,delta_pp,value_2017_busd,value_2024_busd,delta_busd,delta_pct
CHN,VNM,30.4039,42.5511,12.1471,28.5782,65.1373,36.5591,127.9265
MEX,VNM,0.3605,0.0254,-0.3350,0.3388,0.0389,-0.2999,-88.5082
VNM,,,,,,,,
S19,VNM,6.4454,4.2228,-2.2226,6.0584,6.4643,0.4059,6.6998
KOR,VNM,16.5794,11.4560,-5.1234,15.5838,17.5369,1.9531,12.5326
JPN,VNM,9.1866,4.9483,-4.2384,8.6350,7.5749,-1.0601,-12.2772
DEU,VNM,1.1561,0.9230,-0.2331,1.0867,1.4129,0.3262,30.0193
IND,VNM,1.7200,1.6033,-0.1167,1.6167,2.4543,0.8376,51.8066
MYS,VNM,2.9168,2.5673,-0.3495,2.7416,3.9300,1.1883,43.3434
THA,VNM,4.7013,3.4734,-1.2278,4.4189,5.3171,0.8982,20.3251
BRA,VNM,1.2181,1.8205,0.6023,1.1450,2.7868,1.6418,143.3882
GBR,VNM,0.2593,0.2348,-0.0245,0.2437,0.3594,0.1156,47.4474
CAN,VNM,0.3620,0.1742,-0.1879,0.3403,0.2666,-0.0737,-21.6512
FRA,VNM,0.3911,0.2471,-0.1439,0.3676,0.3783,0.0107,2.9223
NLD,VNM,0.3937,0.3341,-0.0596,0.3701,0.5114,0.1414,38.1969
IDN,VNM,2.2667,3.9314,1.6647,2.1306,6.0183,3.8877,182.4705
Other,VNM,21.6390,21.4874,-0.1516,20.3396,32.8929,12.5533,61.7187
CHN,MEX,14.5803,18.0806,3.5004,28.4326,49.4848,21.0522,74.0425
MEX,,,,,,,,
VNM,MEX,0.4447,1.5743,1.1296,0.8672,4.3088,3.4416,396.8595
S19,MEX,1.4544,2.5191,1.0648,2.8361,6.8946,4.0585,143.1021
KOR,MEX,3.8759,3.9891,0.1131,7.5584,10.9177,3.3593,44.4453
JPN,MEX,4.3003,3.4309,-0.8694,8.3859,9.3899,1.0041,11.9733
DEU,MEX,3.8506,3.5529,-0.2977,7.5090,9.7240,2.2150,29.4977
IND,MEX,0.9090,1.2095,0.3005,1.7725,3.3102,1.5377,86.7483
MYS,MEX,0.6001,1.1907,0.5906,1.1703,3.2589,2.0886,178.4638
THA,MEX,0.8026,1.9635,1.1609,1.5652,5.3740,3.8088,243.3531
BRA,MEX,1.1224,1.1279,0.0055,2.1888,3.0869,0.8982,41.0353
GBR,MEX,0.4507,0.3054,-0.1452,0.8789,0.8360,-0.0429,-4.8809
CAN,MEX,2.2003,1.9150,-0.2853,4.2908,5.2411,0.9503,22.1485
FRA,MEX,0.7857,0.6023,-0.1834,1.5322,1.6484,0.1162,7.5851
NLD,MEX,0.4000,0.2231,-0.1769,0.7801,0.6107,-0.1694,-21.7147
IDN,MEX,0.2304,0.3995,0.1691,0.4494,1.0935,0.6442,143.3517
Other,MEX,63.9925,57.9159,-6.0766,124.7900,158.5096,33.7196,27.0211
