stage,source,share_2017_pct,share_2024_pct,delta_pp,value_2017_busd,value_2024_busd,delta_busd,delta_pct
AGGREGATE,CHN,18.6597,12.5901,-6.0696,283.3804,259.0470,-24.3334,-8.5868
AGGREGATE,MEX,14.2345,16.6063,2.3718,216.1767,341.6822,125.5055,58.0569
AGGREGATE,VNM,2.0544,3.9930,1.9386,31.1993,82.1570,50.9577,163.3296
AGGREGATE,S19,1.7291,2.8044,1.0753,26.2590,57.7011,31.4422,119.7389
AGGREGATE,KOR,3.2863,5.1019,1.8155,49.9085,104.9730,55.0646,110.3311
AGGREGATE,JPN,7.2887,5.7433,-1.5454,110.6920,118.1707,7.4787,6.7563
AGGREGATE,DEU,5.5535,5.2821,-0.2714,84.3404,108.6817,24.3414,28.8609
AGGREGATE,IND,2.2346,2.4780,0.2434,33.9364,50.9859,17.0495,50.2396
AGGREGATE,MYS,0.7426,1.0855,0.3429,11.2776,22.3348,11.0572,98.0459
AGGREGATE,THA,1.5138,2.0806,0.5668,22.9899,42.8090,19.8192,86.2083
AGGREGATE,BRA,1.2874,1.3747,0.0874,19.5508,28.2853,8.7345,44.6758
AGGREGATE,GBR,2.0737,2.1310,0.0573,31.4923,43.8463,12.3540,39.2288
AGGREGATE,CAN,14.3563,14.9199,0.5637,218.0252,306.9841,88.9589,40.8021
AGGREGATE,FRA,1.7149,1.7663,0.0513,26.0443,36.3417,10.2973,39.5377
AGGREGATE,NLD,0.6475,0.6828,0.0353,9.8335,14.0482,4.2146,42.8597
AGGREGATE,IDN,1.1042,1.0136,-0.0905,16.7685,20.8559,4.0874,24.3753
AGGREGATE,Other,21.5189,20.3466,-1.1723,326.8022,418.6403,91.8381,28.1020
consumption,CHN,25.2924,17.0650,-8.2275,134.7929,114.2961,-20.4968,-15.2062
consumption,MEX,11.7613,15.1442,3.3829,62.6805,101.4316,38.7511,61.8233
consumption,VNM,4.6537,7.7454,3.0917,24.8013,51.8762,27.0749,109.1673
consumption,S19,0.9269,0.9149,-0.0120,4.9399,6.1277,1.1878,24.0450
consumption,KOR,3.8476,6.9655,3.1180,20.5051,46.6530,26.1479,127.5186
consumption,JPN,8.6797,6.9529,-1.7268,46.2573,46.5682,0.3109,0.6720
consumption,DEU,4.7561,4.6242,-0.1319,25.3472,30.9717,5.6245,22.1898
consumption,IND,2.3608,2.5808,0.2200,12.5816,17.2852,4.7035,37.3843
consumption,MYS,0.6508,0.6905,0.0398,3.4683,4.6250,1.1567,33.3520
